Title,Product Link,Price,Rating
"Amazon Brand - Solimo Water Absorbent Non-Slip Bathmat | Bathroom Mat | Anti-Skid, Lightweight | Super Absorbent | 38 cms X 58 cms (Blue)",https://www.amazon.in/Amazon-Brand-Absorbent-Anti-Skid-Lightweight/dp/B0CZLHNR5M/ref=zg_bs_g_kitchen_d_sccl_19/000-0000000-0000000?psc=1,₹205.00,4.2 out of 5 stars
GLUN Magic 3D LED Night Lamp with Plug Smart Sensor auto On/Off and Color Change Mushroom Flowers Beautiful Illumination Home Decoration Lights for Bedroom Corridor (Multicolour) (Single Pack),https://www.amazon.in/GLUN-Beautiful-Illumination-Decoration-Multicolour/dp/B0846JTXYJ/ref=zg_bs_g_kitchen_d_sccl_20/000-0000000-0000000?psc=1,₹225.00,4.0 out of 5 stars
"Milton Aura 1000 Thermosteel Bottle, 1.05 Litre, Dark Blue | 24 Hours Hot and Cold | Easy to Carry | Rust & Leak Proof | Tea | Coffee | Office| Gym | Home | Kitchen | Hiking | Trekking | Travel Bottle",https://www.amazon.in/Milton-Thermosteel-Bottle-Kitchen-Trekking/dp/B0B4RZ3XNP/ref=zg_bs_g_kitchen_d_sccl_21/000-0000000-0000000?psc=1,₹932.00,4.3 out of 5 stars
Homestrap Set of 6 Non-Woven Printed Saree Cover/Cloth Storage/Organizer with Transparent Window (Grey)(Featured on Shark Tank),https://www.amazon.in/Homestrap-Non-Woven-Organizer-Transparent-Featured/dp/B08LQRXXNB/ref=zg_bs_g_kitchen_d_sccl_22/000-0000000-0000000?psc=1,₹349.00,4.0 out of 5 stars
Godrej aer Matic Kit (Machine + 1 Refill) - Automatic Room Fresheners with Flexi Control Spray | Violet Valley Bloom | 2200 Sprays Guaranteed | Lasts up to 60 days (225ml),https://www.amazon.in/Godrej-Matic-Spray-Violet-Valley/dp/B07FPKJ7MP/ref=zg_bs_g_kitchen_d_sccl_23/000-0000000-0000000?psc=1,₹479.00,4.1 out of 5 stars
"Presto! Garbage Bags, Large (24 x 32 Inches) - 15 Bags/Roll (Pack Of 6, Black), Plastic, 90 Count",https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK/ref=zg_bs_g_kitchen_d_sccl_24/000-0000000-0000000?psc=1,₹385.00,4.3 out of 5 stars
"Presto! Garbage Bags, Small - 30 bags/roll (Pack of 6, Black)",https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PKWBW/ref=zg_bs_g_kitchen_d_sccl_25/000-0000000-0000000?psc=1,₹306.90,4.3 out of 5 stars
"Odonil Room Air Freshener Spray - 440ml Combo (Pack of 2, 220ml each) | Lavender Mist & Jasmine Fresh | Nature Inspired Fragrance for Home & Office | Long Lasting Fragrance",https://www.amazon.in/Odonil-Freshener-Spray-Home-Office/dp/B0B3XPJTFG/ref=zg_bs_g_kitchen_d_sccl_26/000-0000000-0000000?psc=1,₹150.00,4.2 out of 5 stars
Wipro Garnet 10W LED Bulb for Home & Office |Cool Day White (6500K) | B22 Base|220 degree Light coverage |4Kv Surge Protection |400V High Voltage Protection |Energy Efficient | Pack of 1,https://www.amazon.in/Wipro-Garnet-Bulb-Coolwhite-Pack/dp/B0BR3VKC3F/ref=zg_bs_g_kitchen_d_sccl_27/000-0000000-0000000?psc=1,₹65.00,4.1 out of 5 stars
"Wakefit Height Adjustable Hollow Fiber Sleeping Pillow With Zip | Set Of 2 (White And Grey, 27 X 16 Inch) 3 Months Warranty",https://www.amazon.in/Wakefit-Sleeping-Pillow-Set-27/dp/B07L6GZYDV/ref=zg_bs_g_kitchen_d_sccl_28/000-0000000-0000000?psc=1,₹829.00,4.3 out of 5 stars
"SOPL-OLIVEWARE Teso Pro Lunch Box with Steel Cutlery, 3 Microwave Safe Inside Steel Containers with BPA free Lids(290ml, 450ml & 600ml), Plastic Pickle Box(130ml), Steel Water Bottle(750ml) - Blue",https://www.amazon.in/oliveware-Stainless-Containers-Insulated-Microwave/dp/B09FSMN8QS/ref=zg_bs_g_kitchen_d_sccl_29/000-0000000-0000000?psc=1,₹829.00,4.1 out of 5 stars
"GADDA CO Cotton Feel Terry 78x72 inch Ultra Soft Waterproof Mattress Protector King Size | Breathable Hypoallergenic Mattresses Cover for King Size Bed (78x72 inch | 6.5x6 feet, Grey - Pack of 1)",https://www.amazon.in/GADDA-CO-Waterproof-Protector-Mattress/dp/B09VL787WJ/ref=zg_bs_g_kitchen_d_sccl_30/000-0000000-0000000?psc=1,₹611.00,4.4 out of 5 stars
"Desidiya® Astronaut Galaxy Projector with Remote Control - 360° Adjustable Timer Kids Astronaut Nebula Night Light, for Gifts,Baby Adults Bedroom, Gaming Room, Home and Party (Corded Electric)",https://www.amazon.in/DesiDiya%C2%AE-Astronaut-Galaxy-Projector-Control/dp/B0C73B4D1W/ref=zg_bs_g_kitchen_d_sccl_1/000-0000000-0000000?psc=1,"₹1,299.00",4.0 out of 5 stars
"Rylan Black Gas Saver Burner Stand Gas Chula Burner Gas Saver Stand Jali Ring Fire & Windproof Energy Saving, Gas Chula Support Stand 4 Legs Supported For Indian Gas 0.7Mm (Pack Of 2) Black - Metal",https://www.amazon.in/Rylan-Black-Windproof-Support-Supported/dp/B0D26BMCTT/ref=zg_bs_g_kitchen_d_sccl_2/000-0000000-0000000?psc=1,₹498.00,4.3 out of 5 stars
Bajaj Pygmy Go 178 mm Mini Fan with LED Lighting| Rechargeable Fan| USB Charging Fan| 4-hours Battery Backup| 3 Fan Speed| 2-Light Brightness Setting| High Speed Table Fan| White Portable Fan,https://www.amazon.in/Bajaj-Lighting-Rechargeable-Charging-Brightness/dp/B0C66399RP/ref=zg_bs_g_kitchen_d_sccl_3/000-0000000-0000000?psc=1,"₹1,299.00",4.0 out of 5 stars
"MILTON Aqua 1000 Stainless Steel Water Bottle, 950 ml, Silver | Leak Proof | Office Bottle | Gym Bottle | Home | Kitchen | Hiking | Treking Bottle | Travel Bottle (Pack of 1)",https://www.amazon.in/Milton-Aqua-1000-Stainless-Bottle-Silver/dp/B079R9W1B6/ref=zg_bs_g_kitchen_d_sccl_4/000-0000000-0000000?psc=1,₹344.00,3.8 out of 5 stars
"BEDSPUN Curtain Door - Raga Home Curtains for Living Room Door Screen for Home 7 Feet |Texture| Ash Blue| Polyester, Pack of 1",https://www.amazon.in/BEDSPUN-Curtain-Door-Curtains-Polyester/dp/B0CB16FGVP/ref=zg_bs_g_kitchen_d_sccl_5/000-0000000-0000000?psc=1,₹299.00,3.7 out of 5 stars
LiMETRO STEEL Stainless Steel Foldable Cloth Dryer Stand Double Rack Cloth Stands for Drying Clothes Steel (Cross),https://www.amazon.in/LiMETRO-STEEL-Stainless-Foldable-Double/dp/B07PPBD529/ref=zg_bs_g_kitchen_d_sccl_6/000-0000000-0000000?psc=1,"₹2,099.00",4.4 out of 5 stars
"Misamo Enterprise PVC Wall Hooks, Pack of 15, Transparent",https://www.amazon.in/Misamo-Enterprise-Bathroom-Hangings-Transparent/dp/B09SLQPK3T/ref=zg_bs_g_kitchen_d_sccl_7/000-0000000-0000000?psc=1,₹199.00,4.1 out of 5 stars
"Recron Certified Dream Fibre Pillow (41X61, Fiber;Microfiber, White, Pack Of 2)",https://www.amazon.in/Recron-Fiber-Dream-Pillow-White/dp/B016D7UJMW/ref=zg_bs_g_kitchen_d_sccl_8/000-0000000-0000000?psc=1,₹379.00,4.1 out of 5 stars
ALOXE Cosmetic Organizer Box Drawers Storage Plastic Stationary Box | Make Up Organiser For Women,https://www.amazon.in/ALOXE-Cosmetic-Organizer-Stationary-Organiser/dp/B0BLK9X25W/ref=zg_bs_g_kitchen_d_sccl_9/000-0000000-0000000?psc=1,₹299.00,4.1 out of 5 stars
"Milton Pro Lunch Tiffin (3 Microwave Safe Inner Steel Containers, 180/320/450 ml; 1 Plastic Chutney Dabba,100 ml; 1 Aqua Steel Bottle, 750 ml, Steel Spoon and Fork) With Insulated Fabric Jacket, Black",https://www.amazon.in/Microwave-Containers-Plastic-Chutney-Insulated/dp/B0BMGNK4SP/ref=zg_bs_g_kitchen_d_sccl_10/000-0000000-0000000?psc=1,₹849.00,4.1 out of 5 stars
